Brand,Category,Color,Size,Material,Rating,Reviews,Discount,Stock,Price
Zara,Shirt,Green,XL,Wool,3.5,428,50,12,3608.98
Nike,Jacket,Red,M,Polyester,4.8,436,17,63,3637.11
H&M,T-shirt,Black,S,Polyester,3.8,488,41,189,3418.88
Adidas,Dress,Red,M,Polyester,2.9,484,42,146,1738.8
Adidas,Shirt,Blue,XL,Wool,4.2,135,28,79,1202.93
H&M,T-shirt,White,M,Denim,4.5,404,6,122,3361.73
Zara,Jacket,Blue,S,Wool,3.3,826,26,42,3196.86
Adidas,Dress,Red,S,Cotton,4.6,890,21,88,1307.1
Zara,T-shirt,Red,S,Cotton,4.8,815,40,147,3673.13
Adidas,T-shirt,Green,XL,Wool,3.2,585,18,94,2548.27
Adidas,T-shirt,Black,XL,Wool,5,334,14,195,3504.92
Puma,Dress,Black,L,Polyester,2.9,401,39,171,4268.15
Adidas,Dress,Blue,XL,Wool,3,939,29,150,1263.78
Nike,Jeans,White,S,Polyester,3,697,7,1,586.15
H&M,Jacket,Black,S,Cotton,4.7,637,51,119,4005.96
H&M,Shirt,Green,XL,Polyester,4.1,449,42,21,3243.64
Zara,T-shirt,Blue,M,Wool,2.9,213,21,114,3648.38
Adidas,Jeans,Blue,XL,Cotton,3.6,495,16,56,4271.7
Nike,Shirt,Green,XL,Denim,4,842,58,71,4112.65
Zara,Jeans,White,S,Polyester,2.7,40,56,6,4824.14
Puma,Dress,Green,L,Cotton,4.7,397,28,183,2911.71
Zara,T-shirt,White,S,Polyester,4.5,634,33,118,2698.23
Zara,Shirt,Green,L,Cotton,3.8,886,47,194,2308.49
Adidas,Shirt,Green,S,Cotton,4.9,443,29,113,1191.61
Puma,Shirt,Red,XL,Polyester,3.5,846,40,15,3076.73
Zara,Shirt,Blue,S,Denim,5,935,30,82,1746.56
Nike,Shirt,Green,S,Cotton,4.2,385,42,178,4645.88
Nike,Jeans,Green,S,Cotton,4.1,353,5,71,3124.36
H&M,T-shirt,Black,XL,Cotton,2.9,452,24,123,3167.78
Puma,Dress,Blue,XL,Denim,4.7,588,59,112,2097.16
Puma,Dress,Black,XL,Denim,3.6,84,32,11,733.95
H&M,Dress,Blue,XL,Wool,2.9,566,20,125,642.85
Zara,Dress,Black,L,Polyester,2.5,781,51,52,2405.01
Puma,Jeans,Green,L,Denim,3.9,675,21,74,880.54
Nike,Jacket,Green,M,Polyester,3.8,164,44,132,3230.81
Nike,T-shirt,Red,XL,Wool,4.3,439,32,26,4464.38
Adidas,Shirt,Black,L,Polyester,4.7,372,16,139,4473.12
Puma,Jacket,White,S,Denim,2.7,457,31,144,3465.7
Zara,Dress,Red,XL,Polyester,4.3,996,58,133,1450.54
H&M,Jacket,Black,M,Denim,3,243,57,96,4383.49
H&M,T-shirt,Black,M,Polyester,4.6,572,46,4,4487.42
Zara,Shirt,Red,M,Denim,4.5,827,51,56,1384.94
Adidas,Shirt,Green,S,Denim,3.9,271,34,155,3818.42
H&M,T-shirt,Black,L,Polyester,4.3,836,45,77,1789.34
Puma,T-shirt,Green,S,Wool,3.3,134,38,68,4111.88
Adidas,Dress,Red,XL,Cotton,3.7,920,41,117,4987.57
Puma,Shirt,Green,M,Wool,4.6,254,10,119,635.12
Nike,Jacket,Blue,S,Polyester,3.6,551,11,58,4538.15
Adidas,Jeans,White,S,Wool,3.4,947,36,32,3301.84
H&M,Jeans,Black,L,Denim,3.7,494,36,61,4880.22
Adidas,T-shirt,White,L,Cotton,4.6,131,57,49,2592.54
Adidas,Dress,Green,M,Polyester,3.3,134,29,111,4313.25
Adidas,Jeans,Black,S,Polyester,2.9,558,37,18,780.77
Adidas,Shirt,Green,S,Polyester,4.3,179,59,196,2008.76
Puma,T-shirt,Blue,L,Cotton,4.6,133,11,122,801.57
Nike,Jacket,Red,S,Denim,2.8,878,56,193,4889.04
Zara,T-shirt,Black,S,Polyester,3.1,44,16,46,4176.38
Adidas,Jacket,Blue,S,Wool,2.9,96,20,166,4336.46
H&M,T-shirt,Blue,L,Polyester,3.4,655,20,195,4720.84
Adidas,T-shirt,Black,M,Polyester,3.6,717,47,32,882.97
H&M,T-shirt,Green,XL,Polyester,4.4,795,57,140,2235.19
Puma,Jacket,Blue,M,Polyester,4.1,210,40,83,819.66
H&M,Jacket,White,XL,Denim,4.1,378,17,181,1448.57
Zara,T-shirt,Blue,S,Wool,3.4,806,11,134,1532.15
Nike,Jeans,Green,M,Denim,4.6,86,40,78,2610.98
H&M,Dress,Green,XL,Wool,3.7,68,51,13,1708.53
H&M,Dress,White,L,Polyester,4.9,440,55,146,954.4
Nike,Dress,Blue,L,Cotton,4.1,647,13,127,1253.71
Zara,Jacket,Green,M,Denim,2.8,509,36,53,1162.74
Adidas,Jacket,Black,M,Cotton,4.2,922,15,147,4878.85
H&M,Jeans,Red,S,Denim,3.3,118,12,28,3916.82
Nike,Dress,Red,M,Polyester,4.2,745,37,23,4854.93
Puma,Dress,Red,S,Denim,2.7,287,27,81,2478.83
Nike,T-shirt,Blue,S,Polyester,2.9,77,29,62,1752.66
Puma,Jacket,White,L,Denim,4.6,78,12,104,4092.32
Zara,Dress,Green,L,Polyester,3.1,174,49,56,1968.14
Adidas,Jeans,Black,XL,Polyester,4.6,498,26,135,1847.23
Nike,Jeans,Black,L,Wool,3.2,314,8,61,1546.28
H&M,Dress,Blue,L,Polyester,4.1,918,44,156,1083.56
Zara,Jacket,Red,M,Wool,4.2,683,7,16,1654.08
Nike,Jeans,Blue,L,Polyester,3.8,374,33,65,2098.94
H&M,T-shirt,White,XL,Cotton,3.3,863,45,5,3532.97
Nike,Jeans,White,M,Polyester,3,830,33,57,781.54
Puma,Shirt,Green,XL,Cotton,2.6,388,38,68,1447.28
Nike,Shirt,Green,L,Cotton,3.3,352,38,155,4140.61
Nike,Jacket,White,XL,Polyester,4.1,956,32,61,1161.15
Nike,Dress,White,M,Cotton,4.8,908,17,168,2041.9
